epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.559,1.33818,6.92563,0.01251,0.359,0.52578,0.35493,0.22193,1.20716,6.06171,0.01437,0.00026672,0.00026672,0.00026672
2,28.3511,1.38435,3.37846,0.01157,0.58236,0.61551,0.63001,0.3845,1.31138,1.87075,0.01641,0.000544664,0.000544664,0.000544664
3,39.2521,1.35929,2.1873,0.01185,0.50826,0.46976,0.46025,0.25459,1.68419,1.8546,0.02299,0.000816997,0.000816997,0.000816997
4,50.0888,1.51152,1.68359,0.01295,0.34008,0.35391,0.31149,0.1522,1.72576,2.9958,0.02413,0.00108372,0.00108372,0.00108372
5,60.9551,1.46989,1.61385,0.01321,0.32617,0.62104,0.52655,0.22069,1.89277,3.26043,0.02649,0.00134483,0.00134483,0.00134483
6,71.8849,1.51718,1.39017,0.0127,0.30022,0.44373,0.30315,0.14396,1.73996,3.09277,0.02357,0.00158448,0.00158448,0.00158448
7,82.726,1.45642,1.35864,0.01448,0.43561,0.31115,0.31589,0.10903,nan,nan,nan,0.00156798,0.00156798,0.00156798
8,93.6575,1.47876,1.33419,0.01369,0.72484,0.54825,0.6801,0.30313,1.98473,2.25731,0.02995,0.00155148,0.00155148,0.00155148
9,104.66,1.48463,1.43477,0.01319,0.49692,0.66835,0.62926,0.33803,1.55047,1.71543,0.02033,0.00153497,0.00153497,0.00153497
10,115.596,1.49769,1.20765,0.01413,0.52018,0.76394,0.64551,0.33001,1.62315,1.82915,0.02161,0.00151847,0.00151847,0.00151847
11,126.611,1.4347,1.22476,0.01356,0.57165,0.74756,0.58853,0.34468,1.61684,1.4382,0.02582,0.00150197,0.00150197,0.00150197
12,137.637,1.41219,1.1278,0.01304,0.64522,0.8108,0.76057,0.42549,1.64952,1.75051,0.02227,0.00148546,0.00148546,0.00148546
13,148.796,1.38454,1.06023,0.01194,0.69292,0.78415,0.74455,0.46358,1.34804,1.2933,0.01693,0.00146896,0.00146896,0.00146896
14,159.889,1.39165,1.11,0.01191,0.73019,0.71916,0.75906,0.47002,1.41832,1.02055,0.01789,0.00145246,0.00145246,0.00145246
15,170.976,1.34784,0.97717,0.01103,0.66188,0.7047,0.69628,0.42988,1.398,1.61307,0.01816,0.00143595,0.00143595,0.00143595
16,181.889,1.29081,0.99317,0.01199,0.72729,0.64409,0.6821,0.46192,1.26956,1.71179,0.01598,0.00141945,0.00141945,0.00141945
17,192.93,1.31847,0.99699,0.01042,0.71958,0.78797,0.81078,0.48807,1.46397,1.20361,0.01878,0.00140295,0.00140295,0.00140295
18,203.112,1.28053,0.90397,0.01147,0.81614,0.75021,0.80469,0.47151,1.41558,1.25013,0.01745,0.00138644,0.00138644,0.00138644
19,212.968,1.28292,0.85368,0.01132,0.72925,0.75332,0.79564,0.44945,1.42423,1.12859,0.01757,0.00136994,0.00136994,0.00136994
20,222.842,1.29977,0.88265,0.01055,0.81704,0.71516,0.82804,0.52187,1.43284,1.02372,0.01976,0.00135344,0.00135344,0.00135344
21,232.422,1.27191,0.91556,0.01124,0.84725,0.77122,0.8866,0.55584,1.37165,0.82737,0.01702,0.00133693,0.00133693,0.00133693
