epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.945,0.77444,0.56661,0.01399,0.7025,0.76355,0.78481,0.50656,1.14129,0.82641,0.02851,0.000549755,0.000549755,0.000549755
2,65.3602,0.8316,0.59018,0.01442,0.72913,0.71946,0.795,0.54255,1.08091,0.95483,0.02542,0.00109448,0.00109448,0.00109448
3,96.2897,0.89917,0.62872,0.01515,0.73506,0.73377,0.74509,0.4683,1.20256,1.02996,0.02934,0.0016282,0.0016282,0.0016282
4,124.486,0.97343,0.706,0.01607,0.68684,0.77736,0.79666,0.50525,1.2032,1.05676,0.02912,0.00161749,0.00161749,0.00161749
5,151.954,0.94224,0.69173,0.01544,0.69517,0.7907,0.79767,0.51634,1.14665,0.82502,0.02746,0.00160099,0.00160099,0.00160099
6,178.993,0.91069,0.64014,0.01579,0.72735,0.72541,0.76668,0.51514,1.06462,0.93591,0.02304,0.00158448,0.00158448,0.00158448
7,205.617,0.95673,0.66188,0.01516,0.81194,0.61961,0.755,0.50081,1.21277,1.06697,0.02814,0.00156798,0.00156798,0.00156798
8,232.076,0.88788,0.60969,0.01527,0.86886,0.71203,0.83326,0.55611,1.1591,0.76568,0.02726,0.00155148,0.00155148,0.00155148
9,258.679,0.91391,0.64297,0.0151,0.83358,0.66845,0.78185,0.54065,1.08115,0.86132,0.02348,0.00153497,0.00153497,0.00153497
10,285.284,0.9113,0.63716,0.01347,0.73482,0.76359,0.79279,0.53072,1.03512,0.95783,0.02124,0.00151847,0.00151847,0.00151847
11,312.017,0.89079,0.62798,0.01469,0.77877,0.66855,0.76247,0.51323,1.16111,0.90337,0.02805,0.00150197,0.00150197,0.00150197
12,339.227,0.89617,0.63387,0.01382,0.78416,0.71591,0.81241,0.58039,1.05264,0.91305,0.02149,0.00148546,0.00148546,0.00148546
13,366.618,0.86729,0.59463,0.01421,0.64139,0.75972,0.78019,0.5603,1.057,0.9208,0.02415,0.00146896,0.00146896,0.00146896
14,393.803,0.86155,0.60076,0.01455,0.74794,0.72229,0.78239,0.54603,1.06032,0.859,0.02407,0.00145246,0.00145246,0.00145246
15,420.669,0.90175,0.62749,0.01422,0.67399,0.74756,0.77764,0.53147,1.02389,0.82903,0.0211,0.00143595,0.00143595,0.00143595
16,447.921,0.87636,0.5849,0.01489,0.75954,0.76776,0.83105,0.5856,1.03164,0.70868,0.02407,0.00141945,0.00141945,0.00141945
17,474.928,0.84632,0.5485,0.01353,0.77365,0.75972,0.79437,0.57119,1.00218,0.79616,0.02149,0.00140295,0.00140295,0.00140295
18,502.483,0.86886,0.5837,0.0146,0.74165,0.78234,0.81917,0.58161,1.02087,0.82566,0.02116,0.00138644,0.00138644,0.00138644
19,529.423,0.87541,0.57477,0.01379,0.81405,0.69473,0.8145,0.58217,1.00134,0.85327,0.02145,0.00136994,0.00136994,0.00136994
20,556.476,0.8853,0.58887,0.01323,0.77343,0.79876,0.85578,0.59893,1.0124,0.69983,0.0206,0.00135344,0.00135344,0.00135344
21,583.632,0.84768,0.55504,0.01388,0.74507,0.75045,0.82221,0.58109,1.03861,0.83483,0.02316,0.00133693,0.00133693,0.00133693
22,610.736,0.85276,0.5531,0.01379,0.84323,0.75512,0.85426,0.61329,1.0389,0.72315,0.02314,0.00132043,0.00132043,0.00132043
23,638.064,0.82798,0.55282,0.01243,0.83061,0.72244,0.82188,0.60387,0.985,0.83257,0.02056,0.00130393,0.00130393,0.00130393
24,665.157,0.80085,0.52869,0.01255,0.73136,0.78184,0.80813,0.55742,1.06567,0.78748,0.02252,0.00128742,0.00128742,0.00128742
25,692.292,0.82056,0.55509,0.0125,0.80886,0.78968,0.82718,0.58577,1.02561,0.83096,0.02091,0.00127092,0.00127092,0.00127092
26,719.445,0.82957,0.54226,0.01262,0.81003,0.76583,0.85341,0.59791,1.07048,0.78409,0.02316,0.00125442,0.00125442,0.00125442
27,746.557,0.82257,0.52913,0.01287,0.80568,0.81828,0.83932,0.5997,1.00787,0.80325,0.02127,0.00123791,0.00123791,0.00123791
28,773.633,0.81552,0.50064,0.01212,0.81833,0.73501,0.83867,0.61283,0.99642,0.77835,0.02027,0.00122141,0.00122141,0.00122141
29,800.799,0.80866,0.52381,0.01281,0.82589,0.77758,0.84705,0.61305,1.00791,0.73868,0.02056,0.00120491,0.00120491,0.00120491
30,827.913,0.7991,0.50793,0.01186,0.85315,0.75876,0.84456,0.62036,0.94643,0.74829,0.01906,0.0011884,0.0011884,0.0011884
31,855.165,0.76996,0.47387,0.01214,0.80016,0.75563,0.83222,0.62603,0.8883,0.74666,0.01634,0.0011719,0.0011719,0.0011719
32,882.437,0.78594,0.48417,0.01159,0.8348,0.75379,0.82731,0.62111,0.90572,0.78852,0.01766,0.0011554,0.0011554,0.0011554
33,909.781,0.75584,0.50011,0.0119,0.8916,0.72732,0.84417,0.61845,0.95891,0.75126,0.01896,0.00113889,0.00113889,0.00113889
34,937.013,0.72149,0.48779,0.01132,0.88139,0.79011,0.86592,0.60232,0.9921,0.69467,0.0194,0.00112239,0.00112239,0.00112239
35,964.26,0.75936,0.48682,0.01128,0.76689,0.78733,0.84289,0.60948,0.93268,0.72969,0.01782,0.00110589,0.00110589,0.00110589
36,991.417,0.78622,0.47927,0.0126,0.78289,0.80134,0.84478,0.63089,0.92223,0.74772,0.01854,0.00108938,0.00108938,0.00108938
37,1019.85,0.7848,0.5063,0.0116,0.76856,0.8128,0.84817,0.62449,0.97482,0.70258,0.01963,0.00107288,0.00107288,0.00107288
38,1047.03,0.73611,0.48628,0.01227,0.90332,0.7346,0.85919,0.63878,0.92826,0.67368,0.01868,0.00105638,0.00105638,0.00105638
39,1074.31,0.75451,0.4941,0.012,0.79059,0.79262,0.86886,0.64195,0.92434,0.7263,0.0181,0.00103987,0.00103987,0.00103987
40,1101.7,0.7646,0.48761,0.01161,0.86401,0.72976,0.84017,0.59228,1.00864,0.7821,0.02068,0.00102337,0.00102337,0.00102337
41,1128.96,0.73088,0.44939,0.01119,0.83541,0.75589,0.84062,0.61575,0.9789,0.74481,0.01944,0.00100687,0.00100687,0.00100687
42,1156.36,0.74531,0.46418,0.01113,0.77167,0.79876,0.8238,0.62928,0.89608,0.73627,0.01621,0.000990365,0.000990365,0.000990365
43,1183.62,0.72807,0.43497,0.0113,0.82774,0.74885,0.83926,0.60649,0.9494,0.77805,0.01974,0.000973861,0.000973861,0.000973861
44,1210.84,0.7476,0.45888,0.01131,0.80579,0.76516,0.84006,0.59942,0.98774,0.81548,0.02158,0.000957358,0.000957358,0.000957358
45,1238.1,0.74196,0.4519,0.01157,0.86565,0.75367,0.83572,0.61217,0.97261,0.74846,0.01961,0.000940855,0.000940855,0.000940855
46,1265.31,0.74163,0.43486,0.01097,0.8498,0.7869,0.81893,0.60642,0.9046,0.86959,0.01777,0.000924352,0.000924352,0.000924352
47,1292.5,0.71655,0.44512,0.01088,0.7531,0.80419,0.81599,0.59654,0.96887,0.77281,0.01906,0.000907848,0.000907848,0.000907848
48,1319.65,0.69505,0.41253,0.01093,0.84691,0.78192,0.85501,0.60776,1.01964,0.80516,0.02259,0.000891345,0.000891345,0.000891345
49,1346.85,0.71795,0.43688,0.01132,0.83798,0.75651,0.82292,0.62876,0.89816,0.88136,0.01672,0.000874842,0.000874842,0.000874842
50,1373.96,0.72759,0.46157,0.01074,0.84866,0.74824,0.847,0.6221,0.92558,0.70723,0.0181,0.000858338,0.000858338,0.000858338
51,1401.12,0.70329,0.43472,0.0102,0.87361,0.72933,0.8443,0.61548,0.92506,0.78189,0.01661,0.000841835,0.000841835,0.000841835
52,1428.45,0.69165,0.42895,0.01045,0.84724,0.75777,0.83904,0.62672,0.91558,0.80475,0.01748,0.000825332,0.000825332,0.000825332
53,1456.22,0.70458,0.44151,0.01001,0.82902,0.78227,0.84319,0.62074,0.9272,0.73264,0.01783,0.000808828,0.000808828,0.000808828
54,1483.4,0.68519,0.42897,0.01054,0.90649,0.73094,0.85471,0.65903,0.85471,0.69234,0.01553,0.000792325,0.000792325,0.000792325
55,1511.73,0.66884,0.40966,0.01013,0.91142,0.75839,0.86592,0.64721,0.90696,0.68535,0.01734,0.000775822,0.000775822,0.000775822
56,1538.87,0.66528,0.3982,0.01065,0.79378,0.80585,0.84656,0.62912,0.92316,0.78349,0.01756,0.000759318,0.000759318,0.000759318
