epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2717,1.12293,3.67986,0.01862,0.57012,0.41935,0.4445,0.22549,1.58426,2.43446,0.0442,0.000543844,0.000543844,0.000543844
2,41.1001,1.2618,1.53427,0.02165,0.34137,0.27976,0.24145,0.11814,2.0477,2.76831,0.06141,0.00108863,0.00108863,0.00108863
3,56.7568,1.31857,1.36367,0.02382,0.39638,0.30302,0.25678,0.12175,1.95585,2.22806,0.0558,0.0016224,0.0016224,0.0016224
4,72.7143,1.33973,1.35096,0.02466,0.49876,0.52316,0.50819,0.26794,1.59715,1.61477,0.04122,0.00161749,0.00161749,0.00161749
5,89.0198,1.27979,1.20689,0.0232,0.55146,0.50956,0.51432,0.26074,1.74817,1.56821,0.04687,0.00160099,0.00160099,0.00160099
6,104.76,1.24181,1.08783,0.02282,0.39918,0.49862,0.45803,0.26366,1.48671,2.10725,0.03714,0.00158448,0.00158448,0.00158448
7,120.655,1.26405,1.02669,0.02056,0.7142,0.6316,0.71368,0.45867,1.22479,1.3274,0.03091,0.00156798,0.00156798,0.00156798
8,136.679,1.22693,0.95382,0.02121,0.70791,0.54132,0.59426,0.34646,1.51062,1.6005,0.03541,0.00155148,0.00155148,0.00155148
9,152.64,1.18391,0.90624,0.01983,0.76927,0.76724,0.78129,0.50349,1.23263,0.97453,0.02781,0.00153497,0.00153497,0.00153497
10,168.619,1.12367,0.84459,0.01754,0.7278,0.73482,0.75963,0.52434,1.13754,1.09141,0.0262,0.00151847,0.00151847,0.00151847
11,184.579,1.06762,0.7891,0.02033,0.70552,0.70743,0.71903,0.47661,1.23625,1.11594,0.02772,0.00150197,0.00150197,0.00150197
12,200.538,1.14031,0.84026,0.01808,0.72092,0.65326,0.70091,0.42709,1.40393,1.61542,0.03452,0.00148546,0.00148546,0.00148546
13,216.506,1.07257,0.81122,0.0193,0.7374,0.75893,0.83422,0.60658,1.09579,0.80903,0.02297,0.00146896,0.00146896,0.00146896
14,232.603,1.07002,0.82297,0.01806,0.75918,0.61194,0.6916,0.44773,1.21929,1.32757,0.02891,0.00145246,0.00145246,0.00145246
15,248.567,1.01152,0.76216,0.01675,0.80368,0.67353,0.79299,0.50042,1.27878,1.11352,0.03163,0.00143595,0.00143595,0.00143595
16,264.562,1.07802,0.78007,0.01815,0.78981,0.68151,0.77191,0.54739,1.10798,1.0297,0.02399,0.00141945,0.00141945,0.00141945
17,280.585,1.08049,0.76476,0.01686,0.84746,0.69788,0.82959,0.59132,1.08894,0.87916,0.02369,0.00140295,0.00140295,0.00140295
18,296.604,1.04032,0.74422,0.01803,0.76914,0.6755,0.79736,0.57097,1.01338,0.93549,0.02064,0.00138644,0.00138644,0.00138644
19,312.577,1.0044,0.74635,0.016,0.74437,0.81564,0.83017,0.60445,1.05309,0.88923,0.0215,0.00136994,0.00136994,0.00136994
20,328.623,0.97866,0.7042,0.01571,0.69736,0.79102,0.82195,0.60908,1.03773,0.85376,0.02209,0.00135344,0.00135344,0.00135344
21,344.808,1.04236,0.73753,0.01703,0.75735,0.77726,0.80412,0.5696,1.13677,0.96013,0.02533,0.00133693,0.00133693,0.00133693
22,360.864,0.98884,0.7281,0.01517,0.81121,0.68466,0.83291,0.57925,1.15908,0.81858,0.02625,0.00132043,0.00132043,0.00132043
23,376.933,1.01059,0.71398,0.01535,0.83873,0.73392,0.84774,0.60982,1.04439,0.78315,0.02159,0.00130393,0.00130393,0.00130393
24,393.121,1.0004,0.68652,0.01558,0.78952,0.7795,0.8415,0.58786,1.20273,0.79406,0.02602,0.00128742,0.00128742,0.00128742
25,409.208,0.96874,0.64192,0.01535,0.84812,0.75036,0.87054,0.64604,0.95256,0.76451,0.01977,0.00127092,0.00127092,0.00127092
26,426.045,0.93728,0.65913,0.01442,0.84895,0.77159,0.85893,0.64025,0.98531,0.83758,0.02084,0.00125442,0.00125442,0.00125442
27,442.322,0.95432,0.64632,0.01364,0.79477,0.80596,0.85495,0.62839,1.08055,0.77366,0.02227,0.00123791,0.00123791,0.00123791
28,458.363,0.94887,0.65826,0.01321,0.84312,0.77141,0.85697,0.65181,0.93739,0.88248,0.01856,0.00122141,0.00122141,0.00122141
29,474.565,0.9374,0.6362,0.01471,0.82039,0.71521,0.79267,0.60694,0.96087,0.97247,0.01987,0.00120491,0.00120491,0.00120491
30,490.703,0.93755,0.66396,0.01399,0.84919,0.72136,0.83355,0.61121,1.00331,0.86852,0.02134,0.0011884,0.0011884,0.0011884
31,506.729,0.89925,0.59388,0.01483,0.75461,0.74576,0.7937,0.57718,1.01269,0.94608,0.0209,0.0011719,0.0011719,0.0011719
32,522.738,0.8943,0.57757,0.0129,0.81463,0.74281,0.82785,0.61152,0.97926,0.84337,0.02029,0.0011554,0.0011554,0.0011554
33,539.572,0.85421,0.56835,0.01311,0.77336,0.74064,0.83645,0.61503,1.03994,0.86254,0.02333,0.00113889,0.00113889,0.00113889
34,556.276,0.87118,0.57423,0.01352,0.74865,0.78799,0.83644,0.62073,0.95228,0.94621,0.01992,0.00112239,0.00112239,0.00112239
35,572.687,0.88704,0.60212,0.01316,0.7956,0.77863,0.86204,0.62568,1.03999,0.83745,0.02204,0.00110589,0.00110589,0.00110589
36,588.902,0.82254,0.5568,0.01312,0.7474,0.75053,0.81401,0.6015,0.94334,0.93282,0.01804,0.00108938,0.00108938,0.00108938
37,605.059,0.81498,0.59575,0.01321,0.80861,0.76606,0.83618,0.62781,0.98285,0.90984,0.02048,0.00107288,0.00107288,0.00107288
38,621.072,0.81358,0.55259,0.01327,0.85124,0.78394,0.85333,0.62963,1.00676,0.7677,0.02111,0.00105638,0.00105638,0.00105638
39,637.285,0.85275,0.58772,0.01299,0.91716,0.73518,0.86926,0.64321,0.99647,0.72496,0.02007,0.00103987,0.00103987,0.00103987
40,653.352,0.86582,0.60977,0.01217,0.78942,0.7706,0.84816,0.62517,1.00314,0.77831,0.02026,0.00102337,0.00102337,0.00102337
41,669.503,0.78587,0.53547,0.01159,0.78852,0.7766,0.83971,0.61026,1.00648,0.81566,0.02269,0.00100687,0.00100687,0.00100687
42,685.67,0.82972,0.5421,0.01209,0.85653,0.74912,0.84212,0.64926,0.93879,0.92107,0.01896,0.000990365,0.000990365,0.000990365
43,701.795,0.83146,0.52278,0.01234,0.82065,0.76629,0.86909,0.64082,0.96412,0.75738,0.01972,0.000973861,0.000973861,0.000973861
