epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.1599,2.58653,4.42262,3.18234,0.04871,4.1477,0.15367,0.2931,0.08893,0.01833,0.11595,0.24138,0.07321,0.01633,2.40995,7.76153,3.30969,0.05748,0,0.000653333,0.000653333,0.000653333
2,13.5965,2.18489,3.21653,2.13129,0.03532,2.54212,0.36327,0.31897,0.27442,0.10738,0.30096,0.24138,0.19176,0.07169,2.23274,15.1452,3.93628,0.05081,0,0.00130693,0.00130693,0.00130693
3,17.998,2.19502,2.87685,2.00523,0.0342,2.41903,0.34776,0.27586,0.2167,0.07421,0.32697,0.19828,0.14835,0.03466,nan,nan,nan,nan,0,0.00194733,0.00194733,0.00194733
4,22.2932,2.10502,2.78025,1.94442,0.0336,2.21566,0.56347,0.43103,0.44809,0.14941,0.55457,0.41379,0.39481,0.12124,2.07452,120.766,2.51792,0.04576,0,0.0019406,0.0019406,0.0019406
5,26.6098,2.03343,2.74492,1.79685,0.03092,2.02177,0.54841,0.37931,0.3492,0.12791,0.44389,0.35345,0.30088,0.12579,nan,nan,nan,nan,0,0.0019208,0.0019208,0.0019208
6,30.8336,2.02686,2.76629,1.68598,0.03076,2.04897,0.3442,0.55172,0.29343,0.12104,0.32412,0.51724,0.25185,0.08323,2.01215,2.73087,2.25311,0.03967,0,0.001901,0.001901,0.001901
7,35.1935,1.93136,2.71126,1.64418,0.02971,1.91184,0.52094,0.53448,0.47551,0.26891,0.44708,0.51724,0.40632,0.20733,1.78146,2.42554,1.58982,0.03369,0,0.0018812,0.0018812,0.0018812
8,39.534,1.93926,2.60591,1.6298,0.02915,1.87004,0.58621,0.52586,0.5174,0.26589,0.5352,0.48642,0.43462,0.1773,1.65649,2.55683,1.51175,0.03027,0,0.0018614,0.0018614,0.0018614
9,43.7029,1.93202,2.68278,1.63627,0.02945,1.85,0.54698,0.48276,0.43289,0.1783,0.50753,0.41759,0.34928,0.12196,1.79654,2.45911,1.62914,0.03367,0,0.0018416,0.0018416,0.0018416
10,48.0837,1.89042,2.62062,1.63195,0.0292,1.88647,0.50606,0.52586,0.51169,0.28685,0.48178,0.47414,0.46443,0.23998,1.90139,2.33551,1.62266,0.03537,0,0.0018218,0.0018218,0.0018218
11,52.7245,1.87962,2.53037,1.58814,0.02805,1.79823,0.51463,0.585,0.49462,0.25576,0.4786,0.52586,0.44474,0.20474,1.96647,2.25191,1.50109,0.03848,0,0.001802,0.001802,0.001802
12,57.5108,1.87754,2.52988,1.54794,0.02824,1.82986,0.62946,0.51724,0.53738,0.27649,0.5732,0.47414,0.45537,0.18757,1.58611,2.27697,1.6129,0.03051,0,0.0017822,0.0017822,0.0017822
13,62.5542,1.83189,2.51828,1.58484,0.02733,1.81112,0.43419,0.49138,0.45177,0.21132,0.43206,0.33621,0.35455,0.13198,1.99106,2.62801,1.87227,0.0358,0,0.0017624,0.0017624,0.0017624
14,67.1032,1.82684,2.50336,1.46537,0.02754,1.72306,0.71244,0.56897,0.61541,0.3304,0.63257,0.5431,0.50438,0.2441,1.70561,2.33691,1.42273,0.03142,0,0.0017426,0.0017426,0.0017426
15,71.5893,1.92574,2.444,1.47063,0.02892,1.76412,0.57375,0.56034,0.49011,0.23412,0.5368,0.49138,0.43006,0.1938,1.87962,2.15435,1.58141,0.03709,0,0.0017228,0.0017228,0.0017228
16,76.0024,1.80121,2.44894,1.49371,0.02709,1.80438,0.52895,0.57116,0.48511,0.24005,0.49996,0.52577,0.43849,0.181,1.76396,2.62652,1.48346,0.03349,0,0.001703,0.001703,0.001703
17,80.4027,1.76922,2.4092,1.41873,0.02649,1.75385,0.58607,0.5431,0.47245,0.22353,0.53026,0.49138,0.41125,0.17074,1.95217,2.4246,1.64309,0.03781,0,0.0016832,0.0016832,0.0016832
18,84.8262,1.82367,2.48051,1.48913,0.02703,1.71376,0.5637,0.53448,0.53498,0.31524,0.59603,0.44828,0.48811,0.23117,1.69406,2.21593,1.32264,0.03166,0,0.0016634,0.0016634,0.0016634
19,89.2848,1.80361,2.50423,1.44248,0.02667,1.63614,0.44826,0.42241,0.36416,0.17376,0.4581,0.42241,0.35976,0.16479,2.00061,2.24809,1.9014,0.03935,0,0.0016436,0.0016436,0.0016436
20,93.8399,1.72497,2.40086,1.40988,0.0251,1.64103,0.47039,0.52586,0.46687,0.23595,0.55866,0.44828,0.43108,0.18354,1.82954,2.35267,1.80216,0.03598,0,0.0016238,0.0016238,0.0016238
21,98.3879,1.72964,2.2907,1.37174,0.02558,1.56778,0.61682,0.56034,0.56691,0.31837,0.60531,0.54207,0.53926,0.25316,1.57244,2.12527,1.32737,0.02877,0,0.001604,0.001604,0.001604
22,102.655,1.75532,2.31061,1.36523,0.02657,1.64211,0.78608,0.51724,0.60338,0.34606,0.72956,0.46552,0.55186,0.23627,1.58281,2.25383,1.34487,0.02962,0,0.0015842,0.0015842,0.0015842
23,107.044,1.71835,2.39356,1.29259,0.02547,1.56884,0.72586,0.52499,0.60123,0.30573,0.62507,0.56034,0.5511,0.21657,2.01434,2.18577,1.33572,0.03613,0,0.0015644,0.0015644,0.0015644
24,111.352,1.77972,2.34431,1.33621,0.02664,1.58272,0.6493,0.54266,0.58434,0.30301,0.58916,0.49452,0.50015,0.24746,1.92981,2.24318,1.55016,0.0377,0,0.0015446,0.0015446,0.0015446
25,115.736,1.70138,2.27337,1.28749,0.02559,1.55368,0.78295,0.55973,0.61382,0.30827,0.72,0.50986,0.55855,0.27512,1.97623,2.22216,1.48096,0.03889,0,0.0015248,0.0015248,0.0015248
26,120.206,1.70541,2.3333,1.24404,0.02517,1.51914,0.50083,0.5431,0.50216,0.24234,0.48919,0.51188,0.47149,0.20099,2.00337,2.17988,1.56298,0.04125,0,0.001505,0.001505,0.001505
27,124.524,1.76552,2.37476,1.32458,0.02656,1.59144,0.7058,0.53774,0.61526,0.37975,0.62544,0.47504,0.5174,0.26593,1.54212,2.7153,1.38131,0.02872,0,0.0014852,0.0014852,0.0014852
28,128.945,1.70521,2.25662,1.27344,0.02487,1.53091,0.65447,0.60416,0.6005,0.30448,0.5997,0.55172,0.5143,0.26353,2.0003,2.26128,1.31414,0.0378,0,0.0014654,0.0014654,0.0014654
